dataset,missingness,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,percent_bias,coverage_rate,AW,class_score,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
iris,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,0.2403975899,0.3458785675,0,0,0,0.9715013544,0.9592820143,0.9673259327,0.8077777778,0.8977777778,0,0,0,4.03E-01,13.53649799,0,0,0,1,0.9821550509,0.9844054581,0,0,0,0.9664143524,0.9437458708,0.9552753939,0,0,0,0.9642878239,0.9669755976,0.9741508654,0,0,0,0.9553032413,0.9442515379,0.9554720134
wine,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,1.229356924,1.524545477,0,0,0,0.9560277573,0.88694369,0.9631343522,0.8023474178,0.8833333333,0,0,0,0.4326589463,90.99998323,0,0,0,0.946394619,0.829326096,0.9541305876,0,0,0,0.9093720944,0.8601308784,0.92644874,0,0,0,0.9982675329,0.9613328201,0.9979210395,0,0,0,0.9700767828,0.8969849655,0.9740370416
parkinsons,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,1.889245582,1.846420189,0,0,0,0.8238306255,0.7006334382,0.8237522816,0.5405982906,0.8632478632,0,0,0,0.4501640692,166.1617568,0,0,0,0.709725269,0.6957554423,0.7221628601,0,0,0,0.8621966794,0.6831932891,0.8404509173,0,0,0,0.8572741829,0.7200228647,0.8615317613,0,0,0,0.8661263704,0.7035621566,0.8708635877
climate_model_crashes,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,3.22538046,3.712734979,0,0,0,0.7608071444,0.6549061777,0.7598753165,0.862191358,0.9598765432,0,0,0,0.4491426879,133.269896,0,0,0,0.8369939188,0.7270482461,0.8469553801,0,0,0,0.8195912949,0.6047487406,0.8047660176,0,0,0,0.5376682743,0.5992796673,0.5634360731,0,0,0,0.8489750894,0.6885480567,0.8243437953
concrete_compression,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,0.3940821353,0.5981964924,0.7890316565,0.712868311,0.7813864805,0,0,0,0.6084142395,0.8343042071,171.5082888,0.1259259259,9.719527164,0.4204277975,32.21839968,0.5759607897,0.5439581761,0.5691145819,0,0,0,0.7630503934,0.7165033012,0.7449469662,0,0,0,0.904734688,0.8008740808,0.8981792801,0,0,0,0.9123807549,0.7901376858,0.9133050937,0,0,0
yacht_hydrodynamics,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,0.3846434055,0.5832602534,0.8956182635,0.8927005689,0.8975282458,0,0,0,0.7043360434,0.8892473118,126.2448294,0.6095238095,38.77907,0.4682549536,13.15851744,0.5993811972,0.6030240601,0.6089117095,0,0,0,0.9897862716,0.9860520474,0.9884291219,0,0,0,0.9970182189,0.9922240341,0.9965306984,0,0,0,0.9962873662,0.9895021341,0.9962414535,0,0,0
airfoil_self_noise,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,0.162741963,0.2667758322,0.7624965712,0.6757320865,0.7542730731,0,0,0,0.7400443705,0.9204872647,7.221364793,0.7444444444,12.14307462,0.4553478914,20.77558525,0.5087932287,0.5037242141,0.5081317675,0,0,0,0.6605055143,0.6061737056,0.6464497805,0,0,0,0.9329225501,0.8000468338,0.9282493969,0,0,0,0.9477649919,0.7929835927,0.9342613473,0,0,0
connectionist_bench_sonar,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,7.773084612,8.861348025,0,0,0,0.818381758,0.7102989786,0.7897812309,0.5807228916,0.873015873,0,0,0,4.68E-01,1124.723555,0,0,0,0.7116789746,0.7262056598,0.7133686085,0,0,0,0.8401233699,0.6906887482,0.8114803259,0,0,0,0.8329529656,0.7380858911,0.8129574264,0,0,0,0.8887717218,0.6862156153,0.8213185626
ionosphere,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,4.182772469,4.76366224,0,0,0,0.9129495335,0.8261932087,0.9015504468,0.5726190476,0.7680751174,0,0,0,0.4454460343,407.6949422,0,0,0,0.8506690212,0.7907684654,0.8422199541,0,0,0,0.9387153881,0.8401605865,0.919181167,0,0,0,0.9399530096,0.8473331353,0.933385056,0,0,0,0.922460715,0.8265106478,0.9114156102
qsar_biodegradation,MCAR(0.2 none),forest_diffusion_flow_nt51_ycond,1.483003137,1.654889841,0,0,0,0.8517768076,0.803770751,0.8494476729,0.4597156398,0.8018957346,0,0,0,0.4709788078,785.7990226,0,0,0,0.857561255,0.8209528438,0.8527245515,0,0,0,0.8302144943,0.7973199667,0.830519613,0,0,0,0.8621689851,0.799738309,0.8573633574,0,0,0,0.8571624959,0.7970718844,0.8571831697
